recommendation,final_score,source_type,discovery_seed,product_group,product_source,brand,category,keyword,search_volume,prev_search_volume,search_volume_growth_pct,total_products,overseas_products,overseas_ratio,opportunity_raw,avg_top10_price,min_top10_price,risk_flags,risk_penalty,volume_source,shopping_status,sample_titles,sample_malls
보류,44.1,product_discovered,살로몬,가방/지갑,searchad_related,살로몬,가방/지갑,살로몬가방,5390,0,0.0,0,0,0.0,53.9,0,0,,0,searchad:살로몬가방,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
보류,43.8,product_discovered,언더아머,패션소품/의류,searchad_related,언더아머,패션소품/의류,언더아머반바지,8720,0,0.0,0,0,0.0,87.2,0,0,사이즈반품,6,searchad:언더아머반바지,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
보류,43.1,product_discovered,노스페이스,가방/지갑,searchad_related,노스페이스,가방/지갑,노스페이스크로스백,5010,0,0.0,0,0,0.0,50.1,0,0,,0,searchad:노스페이스크로스백,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
보류,42.9,product_discovered,휠라인터런,신발,searchad_related,휠라,신발,휠라샌들,5030,0,0.0,0,0,0.0,50.3,0,0,사이즈반품,6,searchad:휠라샌들,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
보류,42.5,product_discovered,파타고니아,패션소품/의류,searchad_related,파타고니아,패션소품/의류,파타고니아모자,8260,0,0.0,0,0,0.0,82.6,0,0,사이즈반품,6,searchad:파타고니아모자,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
보류,42.1,product_discovered,헬리녹스,캠핑/아웃도어소품,searchad_related,헬리녹스,캠핑/아웃도어소품,헬리녹스테이블,4750,0,0.0,0,0,0.0,47.5,0,0,,0,searchad:헬리녹스테이블,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
보류,41.9,product_discovered,어그,신발,searchad_related,어그,신발,어그슬리퍼,8040,0,0.0,0,0,0.0,80.4,0,0,사이즈반품,6,searchad:어그슬리퍼,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
보류,41.8,product_discovered,컨버스,패션잡화,searchad_related,컨버스,패션잡화,컨버스척70,4740,0,0.0,0,0,0.0,47.4,0,0,,0,searchad:컨버스척70,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
보류,41.5,product_discovered,헬리녹스,캠핑/아웃도어소품,searchad_related,헬리녹스,캠핑/아웃도어소품,헬리녹스체어투,4270,0,0.0,0,0,0.0,42.7,0,0,,0,searchad:헬리녹스체어투,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
보류,41.4,product_discovered,컨버스,신발,searchad_related,컨버스,신발,컨버스운동화,7970,0,0.0,0,0,0.0,79.7,0,0,사이즈반품,6,searchad:컨버스운동화,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
보류,40.3,product_discovered,스노우피크,패션소품/의류,searchad_related,스노우피크,패션소품/의류,스노우피크반팔,7400,0,0.0,0,0,0.0,74.0,0,0,사이즈반품,6,searchad:스노우피크반팔,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
보류,40.2,product_discovered,살로몬,등산화,searchad_related,살로몬,등산화,살로몬등산화,3890,0,0.0,0,0,0.0,38.9,0,0,,0,searchad:살로몬등산화,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
보류,40.0,product_discovered,유니클로,패션의류,searchad_related,유니클로,패션의류,유니클로선글라스,7340,0,0.0,0,0,0.0,73.4,0,0,사이즈반품,6,searchad:유니클로선글라스,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
보류,40.0,product_discovered,버켄스탁보스턴,신발,searchad_related,버켄스탁,신발,버켄스탁샌들,4010,0,0.0,0,0,0.0,40.1,0,0,사이즈반품,6,searchad:버켄스탁샌들,"fallback_input_after_error:Shopping API error 404: {
        ""errorMessage"": ""Invalid search api (존재하지 않는 검색 api 입니다.)"",
      ",,
